nom_bien,bien_id,url_rpcq,description_bien,synthese_historique,statut_juridique,date_attribution_stat_jurid_principal_actuel,categorie,autorite,latitude,longitude,the_geom,no_region_admin,region_admin,municipalite,adresse,debut_construction,fin_construction,usage,sous_usage,detenteur_photo,auteur_photo,licence_photo,date_licence_photo,url_photo
Fort Ingall,92977,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92977&type=bien,"Le fort Ingall est un poste militaire érigé entre 1839 et 1841, et reconstitué dans les années 1970. Ce bien est classé site patrimonial. La désignation comprend six bâtiments de diverses fonctions qui se trouvent à l'intérieur d'une palissade,",Le fort Ingall est construit entre 1839 et 1841 par les autorités britanniques. Sa construction prend sa source dans la ratification du traité de Versailles en 1783. Ce traité qui met fin à la guerre de l'Indépendance américaine trace aussi la prem,Classement,2012-10-19,Site patrimonial,Ministère de la Culture et des Communications,47.691083,-68.901,0106000020E61000000100000001030000000100000019000000A25DD0B19D3951C0616818F697D84740A25DD0B19D3951C0616818F697D847402E157C9F9A3951C0F542F8A08FD847402345C5B7953951C0C54F132385D84740E09DBC2B943951C0476A36FE82D84740BEC166C78B3951C0C23B5DBF72D84740B8EA0C598A3951C0ED4810566ED84740ED1E48F7873951C05D35876B6AD847408141E6B1843951C046F2E5E765D847406B74ABFD7C3951C0C30B2E885DD8474074A78F3C8D3951C09159498A4ED84740ECF563B2943951C07833D96B62D84740FFA6C6D0A93951C095BEC05A53D84740EC7E0A6AB73951C03B3939EB6FD84740FBF63D4FAE3951C06EF8624276D847405E6B48AAB23951C0BF201A7480D84740994B873AAE3951C0C956DFE883D84740F30EB228AF3951C0DCD7D21686D84740C6F7121FAE3951C0F99C92E586D84740D2592585AE3951C01ADEB1D487D84740062793D4AD3951C01116865E88D847405814AE6DAE3951C0886384C489D847408FFD840BAD3951C0993FDFD88AD8474025DD65BEAD3951C088FAA47A8CD84740A25DD0B19D3951C0616818F697D84740,1,Bas-Saint-Laurent,Témiscouata-sur-le-Lac,81 rue Caldwell,1839,1841,Services et institutions,Installations de défense militaire,,,,,
Jardins de Métis,105299,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=105299&type=bien,"Les Jardins de Métis forment un lieu de villégiature aménagé à partir de 1887. Le site a une superficie d'environ 18 hectares et un périmètre irrégulier. Il comprend plusieurs jardins et espaces boisés ainsi que la villa Estevan, l'ancienne mais","Les Jardins de Métis sont situés sur le territoire de l'ancienne seigneurie de Mitis, dans le Bas-Saint-Laurent. À la fin du XIXe siècle, la région devient un important lieu de villégiature, notamment grâce à l'arrivée du chemin de fer Intercolo",Classement,2013-06-06,Site patrimonial,Ministère de la Culture et des Communications,48.630632,-68.127444,0106000020E6100000010000000103000000010000001E0000008792FD1AFC0751C00975DDF9F15048409276A748DD0751C028287C06A55048409DA3C742020851C00345C96A8F50484021B283F3090851C08618BBA78A5048408636C8D2080851C01B7551158950484050C9A2F51C0851C083B6FE0B7E50484059E1BD173F0851C03F2EE1156C504840AA53C07E440851C0E213E2006B5048403CF24D3D4E0851C01AC82C42675048402BC399FD5A0851C03BD4ACE3785048408C0ED460580851C02FE73EBA7C504840AAA22B40570851C0308C5AF38050484099EA9B00580851C0252D45AD84504840D12467EF550851C037412F6788504840CC36831F560851C0732B115F8D504840668C98B1590851C0E1E6C98C9850484048F840D25A0851C0B442E9879B504840E93B3A345E0851C04AB910459D5048408D7F3396610851C090DB67819F504840C13C7AEA680851C0AEA956FDA15048402C46A85D6E0851C051AE7DBAA350484091D251367D0851C0652C6374A7504840E723F069830851C094AA77ADAB5048408C55CD9B860851C00F148224B15048405A09E67C880851C07DF822DBB65048404F2D1EDD880851C0B791C291BC504840A3D28805450851C0CFE4786FD1504840827AB350210851C0C054D95BDD50484044EDC9C1070851C05616BFC5EA5048408792FD1AFC0751C00975DDF9F1504840,1,Bas-Saint-Laurent,Grand-Métis,200 route 132,vers 1887,,"Fonction résidentielle¤Fonction culturelle et récréative, loisir","Villas et maisons bourgeoises (domaine)¤Squares, parcs urbains et grands jardins",Ministère de la Culture et des Communications,Geneviève Hébert,©,2012,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=195690
L'Enfilade-de-Maisons-en-Brique-Rouge-de-Yamachiche,98269,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=98269&type=bien,L'Enfilade-de-Maisons-en-Brique-Rouge-de-Yamachiche est un alignement de douze bâtiments résidentiels construits pour la plupart au cours de la seconde moitié du XIXe siècle. Le corps principal des édifices présente un plan rectangulaire et des él,"Les résidences de L'Enfilade-de-Maisons-en-Brique-Rouge-de-Yamachiche sont construites, pour la plupart, entre 1850 et 1900. Au début du XVIIIe siècle, la presque totalité du territoire de Yamachiche fait partie de la seigneurie de Grosbois-Est, une",Classement,2008-06-26,Site patrimonial,Ministère de la Culture et des Communications,46.282222,-72.830833,0106000020E6100000010000000103000000010000001C000000DE1279B9483552C093600B88302447409D9D6797463552C055A47C9F2F244740D0F4BBF1443552C001FFE7EB2E244740CBB561C1423552C021614780342447400054AE32453552C0017E22FF37244740FE0F197A403552C067BBA84D3B24474072BA1C503D3552C0D654888D41244740A2BF3AA7313552C095BBE48D302447403C7BD1BB2E3552C0BDFDF071342447402401247B2D3552C0188633C136244740BE267467293552C0A88A0DE73B244740279CF7782A3552C00922E1B53D244740B18832D4243552C0B8A68CB744244740038CD816213552C099306A843E244740E872B8601E3552C05A5596F5412447400562390A1E3552C02D909B6141244740142443561C3552C034EF6E784324474028532ED41A3552C0F33673A4452447405CE77B1E193552C0B84AE06247244740C5DF2F1D153552C05CF50B733F244740F320DE59133552C072A155973C24474049FE2A4D193552C0A173E6D035244740F8EA79942C3552C07142D968202447407E7F684F373552C01D12349614244740F1B5B412393552C0743CD73E18244740890863D23B3552C00C744F041C2447408B182A8A403552C01C73667D22244740DE1279B9483552C093600B8830244740,4,Mauricie,Yamachiche,,après 1850,avant 1900,Non applicable,Non applicable,Ministère de la Culture et des Communications,Andréane Beloin,©,2010,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=207239
Lieu de fondation de Montréal,93536,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93536&type=bien,"Le lieu de fondation de Montréal est l'emplacement où a pris naissance Ville-Marie (aujourd'hui Montréal) en 1642. Ce territoire englobe une portion de la place d'Youville (nommée place de la Grande-Paix-de-Montréal), le siège social d'une compagni","Le lieu de fondation de Montréal est d'abord fréquenté par les Amérindiens comme lieu de campement saisonnier entre le Sylvicole moyen (entre 2400 et 1500 avant notre ère) et la période de contacts avec les Européens. En 1535, Jacques Cartier (149",Classement,1999-03-04,Site patrimonial,Ministère de la Culture et des Communications,45.5025,-73.554556,0106000020E610000001000000010300000001000000210000007762F0A77C6352C049131EC35DC0464022E00F677C6352C0689CFE5E5EC04640C03F98AE7B6352C08290341A60C04640A0E167367A6352C0F9A40DA263C04640B6ABA337866352C0636FAF5F6BC04640E6565689836352C017F9891D76C0464010220CC3806352C0BF868AEC74C04640703BE0F6736352C0C07BE85C70C046403E5311DA746352C03A033C036CC046408793B15F736352C0C7F8A7C466C04640E9E9D8D3726352C092A1817959C04640AF66A057726352C0B58EB9AF4DC04640E7B69EF5706352C0CA7478D64DC04640C2ABAE13706352C0D072C51B36C04640A0D8D545736352C0B97AF43B36C04640BAC2F559796352C0E073CA6837C046404A6385D0786352C00691F17638C04640E18937B17A6352C01885B7D438C04640BFB791047A6352C06E0E27A637C046409EA50FCC7A6352C0DFB1F4CF32C04640807DAA337C6352C0C4FBE51733C046405EA79EE87C6352C042C76B962DC046400A0B16977E6352C09531708E2EC046400A0B16977E6352C09531708E2EC04640742E7A16856352C0A86BAA9D30C0464023553DD88B6352C09D8BEB4934C0464011D9EAFB886352C0219053A33DC046401A9F3E9C876352C068657DB741C04640FD54C819856352C0E71F33904AC04640CE6DBB31836352C0DDF679984EC046408FBEDA2B826352C0BD455FC250C04640FB30F3D07F6352C064DE542B56C046407762F0A77C6352C049131EC35DC04640,6,Montréal,Montréal,,,,Non applicable,Non applicable,Ministère de la Culture et des Communications,Christian Lemire,©,2008,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=13016
L'Îlot-Trafalgar-Gleneagles,93402,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93402&type=bien,"L'Îlot-Trafalgar-Gleneagles est un lotissement résidentiel sur lequel s'élèvent deux maisons bourgeoises et deux conciergeries, construites entre 1907 et 1931 La forme oblongue du terrain résulte de l'aménagement de trois artères publiques. Canton","L'Îlot-Trafalgar-Gleneagles a une évolution intimement liée à l'occupation du mont Royal. Dès la préhistoire, la montagne est fréquentée par des populations amérindiennes. Un des sentiers alors empruntés est situé à l'emplacement du chemin de",Classement,2012-10-19,Site patrimonial,Ministère de la Culture et des Communications,45.494922,-73.594984,0106000020E610000001000000010300000001000000190000002872FC47256652C0331B243365BF4640059415231F6652C02191AC6365BF4640D3FF82F3186652C0C150869465BF4640657E0411166652C0C67251B465BF464024E5229E146652C030C748C465BF4640246B971C0F6652C04533A90364BF46406DCE7AB20B6652C07F5094ED62BF4640EA7F1BC0046652C07106DCB760BF46401CEF9D28FA6552C06659AF6B5DBF464081F1D37BF36552C0DFF4BAC15CBF4640F097568CF36552C00A78C46C5BBF4640D55A8D93F66552C0F620E8F759BF46407F474785FB6552C010F31C9757BF46400ED96588006652C036B9F12D55BF4640AA1B2616056652C092414F1C53BF4640660EF87A076652C00A166D4D52BF46408AF071C0096652C01B380ABC51BF464027F108810C6652C06E2D7B4B51BF4640AEEC2043126652C0C7FFB70651BF4640FE740236186652C0FCDE60D850BF4640072391421A6652C0044348D150BF464033E769911C6652C0AC08E54751BF464041612E91206652C0AA66359953BF4640DA43F0B4296652C091EBFDFE59BF46402872FC47256652C0331B243365BF4640,6,Montréal,Montréal,chemin de la Côte-des-Neiges,1907,1931,Non applicable,Non applicable,,,,,
Magasin général Le Brun,93447,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93447&type=bien,"Le magasin général Le Brun est un ensemble de trois bâtiments ayant servi de magasins généraux entre 1827 et 1974. Ces trois bâtiments sont de plan rectangulaire. La maison et le petit magasin à charpente en pièce sur pièce, d'un étage et demi,","Les origines du magasin général Le Brun remontent à 1827, alors que le marchand Eugène Trudeau se fait construire une maison en bois par les menuisiers Emmanuel Maçon et François Labonne, en bordure du chemin du Roy, près de l'actuelle municipalit",Classement,2012-10-19,Site patrimonial,Ministère de la Culture et des Communications,46.229222,-73.070306,0106000020E6100000010000000103000000010000000C000000BA63C279824452C0E538ACBA581D47406283F1787F4452C0C423A7655A1D4740AEF5B2A07C4452C056BC27E95C1D47407AD659C3774452C0CD9F2891491D4740853F09AF7A4452C0BDFF75FC471D4740EA361BD97B4452C0AE0D205B471D47400A4E4AB17C4452C0EC26235B4B1D47406E1D19BD7D4452C00591C1C34F1D474022C5C8D17F4452C07D74DEA64E1D4740A2D2FDF17F4452C03EEC0F214F1D4740865BB87B804452C026AE992B511D4740BA63C279824452C0E538ACBA581D4740,4,Mauricie,Maskinongé,192 route du Pied-de-la-Côte,,,Fonction commerciale,Magasins généraux,Ministère de la Culture et des Communications,Marie-Claude Côté,©,2003,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=12679
Poste de relais pour le flottage du bois d'Opémican,92596,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92596&type=bien,"Le poste de relais pour le flottage du bois d'Opémican est un ensemble de 14 bâtiments construits à partir de 1883. Ces édifices, disséminés le long de la baie d'Opémican, servaient à diverses activités reliées au transport du bois par voie d'e","La baie d'Opémican est d'abord fréquentée par les Algonquins qui y établissent des campements temporaires. Au début du XIXe siècle, le site est occupé par la Compagnie de la Baie d'Hudson, qui y exploite pendant une quarantaine d'années un relais",Classement,1983-04-12,Site patrimonial,Ministère de la Culture et des Communications,46.83225,-79.191444,0106000020E61000000100000001030000000100000042000000A16210930CCD53C0727660DCB56A4740A16210930CCD53C0727660DCB56A4740823DDF4B13CD53C0174831F6C86A47403999F9BCF8CC53C0190A0C14DC6A474008153A95D8CC53C0072DEB38DE6A4740635D4F99BECC53C07FD8CDEFCC6A4740293166AFADCC53C0BEEFABC7B86A4740D1DEAD8088CC53C06568E77F9E6A4740517EA7946BCC53C04EF6770A916A474039818CC564CC53C035E9A8038F6A4740061C343363CC53C0777471EAC26A474018FB6FA452CC53C030C669B5E76A4740FDD1DEFB30CC53C050C66D41BA6A47408A49995731CC53C072B39F65B86A4740E8F05FD041CC53C0F7F81FE1CE6A4740590E002E44CC53C0E10A29E4CE6A4740433CFAFB47CC53C0FE36DF9ACA6A4740D77D8F6D4ACC53C046CC14DAC76A4740624860964CCC53C036D958DAC26A4740D550BE984CCC53C00974949CBF6A4740E7ED748548CC53C0F914F168BE6A4740E7ED748548CC53C0F914F168BE6A47409D71D85045CC53C07DE09616B96A474035F154AF44CC53C067ED72AAB46A474030CF812045CC53C0B0B4D93EB06A474009512DFF45CC53C03A652420AC6A474009C7FBDB46CC53C072C4B4F3AA6A474063544CBE4ACC53C0F3EC6430A46A4740773E72684BCC53C0B2A3C0009E6A4740991D98B246CC53C0F9633261986A4740C43E235A44CC53C04E0D6E2C926A474042151C2642CC53C025931B958F6A4740E6ED321240CC53C0D3B98D238D6A474016BFFC493DCC53C068BA5D4A896A4740877ABEB93ACC53C052381F44846A4740F122F37239CC53C0EEB69EB9806A4740782FC7D038CC53C0B8CE7F977C6A4740E8A32CD438CC53C0D490BFC2786A4740C24E8A123CCC53C0B625513A706A474009DF1C353ECC53C09A35BA8D6E6A4740F7AA199D46CC53C008B124CC696A47409A36AC9E49CC53C0324E41686A6A4740DFE7BA674CCC53C03604F8A86D6A4740377069B559CC53C0D27F67DC716A47400AC2F3DE67CC53C085431811766A4740BA98AEE26DCC53C05606CA81756A4740BA98AEE26DCC53C05606CA81756A47400C4627B577CC53C08BCF2C3F7B6A4740468B22E782CC53C057B6E2A37F6A4740721360D895CC53C08D1704E2896A47400776BFA2A2CC53C00A0255CB916A47402EA14F17ABCC53C0348D61CA986A474002FAF1A7B5CC53C04E0C1064A26A4740B5796020BFCC53C052ED12FFAA6A47402A527CA1C9CC53C0AB390C02B36A47407B1A3D7BD0CC53C0F6F41A6ABA6A47400EDCACD5D5CC53C0E45543C0BF6A47402CE435D7D8CC53C052F089F1C06A47407C55350CE2CC53C0F7F122E0C16A4740A342D71BF1CC53C0A7AF9412C16A4740B60B3AEBFCCC53C0CF204404C26A474002D35AB5FFCC53C04ACB05EBC26A4740744F37A704CD53C04965BC2BC16A474094B49C3D07CD53C053800B3DBE6A47402C1602D309CD53C0A0E756E5BB6A4740A16210930CCD53C0727660DCB56A4740,8,Abitibi-Témiscamingue,Témiscaming,route 101,1883,1883,Production et extraction de richesses naturelles,"Camps forestiers, drave et transport du bois",Ministère de la Culture et des Communications,Jean-François Rodrigue,©,2004,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/document/?id=9516
Poste de traite du Lac-aux-Allumettes,93502,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93502&type=bien,"Le poste de traite du Lac-aux-Allumettes est un ensemble aménagé à partir de 1828 pour servir au commerce des fourrures, de magasin général et de centre de villégiature. Il comprend notamment la maison du bourgeois en bois (1845), la chapelle en bo","Le poste de traite du Lac-aux-Allumettes est aménagé à proximité de la rivière des Outaouais. Les commerçants et les explorateurs français, puis anglais, fréquentent les abords de cette rivière, car elle donne accès aux ressources de la région",Classement,1981-09-05,Site patrimonial,Ministère de la Culture et des Communications,45.951917,-77.270778,0106000020E61000000100000001030000000100000014000000615E991C5D5153C094210E18F0F94640C514E8CF4C5153C0B0412A86ECF9464096AA3BD44E5153C07DEAB30FBFF94640BE0E95C7505153C00B2BF726A7F9464038BB0AA5505153C08067377695F9464096F0E9285D5153C03F505A319BF946408E23F983625153C010D59F9DA6F9464084AC1095665153C0E30D9EA2ADF946406AB2AC866C5153C0E483B0CCB0F946406C06DFCC6D5153C0F6BE14F8B1F9464033BC8A396E5153C0023FAD8CB2F9464033BC8A396E5153C0023FAD8CB2F9464033BC8A396E5153C0023FAD8CB2F946409E42D5036A5153C0E2709343B5F94640CC697254685153C03D96F292B5F946401714F1BF635153C0326DB75DBFF946401714F1BF635153C0326DB75DBFF94640005B714E615153C0972F6F8CCDF94640615E991C5D5153C094210E18F0F94640615E991C5D5153C094210E18F0F94640,7,Outaouais,Sheenboro,chemin Perrault,,,Fonction commerciale,Postes de traite,,,,,
Pulperie de Chicoutimi,92845,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92845&type=bien,"La Pulperie de Chicoutimi est un ancien complexe industriel dont la construction s'est étalée de 1897 à 1957. Le site autrefois voué à la production de pâte de bois comprend une vingtaine de structures, dont quatre moulins, un atelier de réparatio","La Compagnie de pulpe de Chicoutimi est fondée en 1896 par Joseph-Dominique Guay (1866-1925), maire de la ville, et quelques associés. L'année suivante, Julien-Alfred-Édouard Dubuc (1871-1947) en devient le directeur-gérant et la construction du pre",Classement,1984-07-09,Site patrimonial,Ministère de la Culture et des Communications,48.420639,-71.083222,0106000020E610000001000000010300000001000000310000007D885598F7C551C04F9227FD543548402EB4BC0DC2C551C0F42DE0C9B2354840365A3D94C2C551C0320049F4C435484088C9C4BCB0C551C0489D23DDD335484088C9C4BCB0C551C0489D23DDD3354840A16E3E24AAC551C0799C3F9ADB354840A16E3E24AAC551C0799C3F9ADB3548406DC042D4A6C551C03E42E566DD354840B85CE217A8C551C075F23D12D3354840B3BF3236A5C551C0C64B15C0D0354840B3BF3236A5C551C0C64B15C0D0354840DA8AC57292C551C0BD1672F3DA354840A53EE52D7CC551C047150161EB354840A53EE52D7CC551C047150161EB3548408540EED46CC551C062F3414C04364840FF2A98995AC551C0C098CC5A1C3648406A21D90247C551C06C20D09530364840869633923BC551C0BC0E65323C364840FE3DB4A530C551C02FC67D3C56364840E6364BB42AC551C02C82E588473648408DCE8C5824C551C0DEF111623F364840021ED0371FC551C0ABC651873936484043AD6621FAC451C07AE63B3416364840A1DBAC86FFC451C0B3FC78F70A364840DE919121FCC451C03F0D02670236484019DBED1DFBC451C0DAFC5FEEF7354840CA5CA11001C551C0DD2758E4FE3548401BDDCDEFFFC451C009E85DCDF33548401BDDCDEFFFC451C009E85DCDF335484083ABEB8505C551C002956A36E4354840DAAA8BE307C551C06F0CA0AEE3354840F5BC45C80BC551C0EDA294F6DB354840625AC07B0CC551C01E2816F1D83548409648287E07C551C0D8F685E6D3354840C6C701A30CC551C0FD4A7D68CA354840D2D92EF611C551C04EDFED94C03548400C14E86116C551C06355748FA135484093FF6C9F26C551C098B39C0EB73548400F5DD5CA37C551C058E6DEDD9535484020EFE2013FC551C0B534CED39B354840E7996D0344C551C02FD6B3148E3548401270240E55C551C01B1AECC7963548408627FA565EC551C06777AF2D783548401BE1B16A6DC551C05A1F71A37F3548402BC3A04E73C551C0A77FA8D57335484066EF807395C551C0F21B0DE746354840FE18B9D589C551C0CBD261B83D3548401AF68D18B0C551C0D3581C8D173548407D885598F7C551C04F9227FD54354840,2,Saguenay--Lac-Saint-Jean,Saguenay,rue Dubuc,1897,1897,"Fonction industrielle, transformation de matières végétales et animales",Usines de pâtes et papiers,,,,,
Site archéologique de la Chapelle-Notre-Dame-de-Bon-Secours,197101,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=197101&type=bien,"Le site archéologique de la Chapelle-Notre-Dame-de-Bon-Secours est un terrain et un ensemble de vestiges dont les plus anciens remontent au Sylvicole moyen ancien (de 2400 à 1500 ans avant aujourd'hui). Le sous-sol du site renferme notamment des éléments associés à une occupation amérindienne, dont des traces de pieux et celles d'un foyer. Il recèle aussi des vestiges de l'époque de la fondation de Montréal, tels que ceux de la chapelle érigée en 1675. D'autres éléments témoignent des fonctions domestique, religieuse, militaire, scolaire et d'entreposage du lieu au cours de l'histoire. Une chapelle et un musée s'élèvent aujourd'hui sur ce terrain. Le site archéologique de la Chapelle-Notre-Dame-de-Bon-Secours présente un périmètre formant un « L » et sa superficie est d'environ 1 450 mètres carrés. Il est notamment bordé par les rues de la Commune, Bonsecours et Saint-Paul, dans l'arrondissement Ville-Marie de la ville de Montréal.","La première occupation du site archéologique de la Chapelle-Notre-Dame-de-Bon-Secours remonte vraisemblablement au Sylvicole moyen ancien, soit la période qui s'étend de 2400 à 1500 ans avant aujourd'hui. Le lieu est occupé à différentes époques avant l'arrivée des Européens.",Classement,2014-11-10,Site patrimonial,Ministère de la Culture et des Communications,45.509814,-73.550998,0106000020E61000000100000001030000000100000009000000DE70F6DE436352C0878E21124BC1464091227AC8416352C0836800104AC146402D5A23FF3E6352C0677C039A48C14640E1493A4A406352C07D60D7AA43C14640DFB45D29426352C089396A953CC14640A128FCBA496352C0D031086A40C146407883D99A486352C00191617A47C14640EF47F465446352C04B0F666946C14640DE70F6DE436352C0878E21124BC14640,6,Montréal,Montréal,rue de la Commune Est,,,,,,,,,
Site archéologique de la Métabetchouane,93572,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=93572&type=bien,"Ce bien est classé site patrimonial. La collection d'objets du site archéologique de l'Île-aux-Tourtes, composée de 358 artéfacts extraits du site, est classée objet patrimonial.","Au XVIIe siècle, d'importantes activités de traite se tiennent dans ce secteur du « bout de l'île » de Montréal, les Amérindiens empruntant le lac des Deux Montagnes pour aller faire du commerce à Ville-Marie.",Classement,1988-06-01,Site patrimonial,Ministère de la Culture et des Communications,48.422,-71.967444,0106000020E6100000010000000103000000010000000C0000003496721DDAFD51C07634B1FDE035484088681956EBFD51C08A51FBC0E73548409B422BCAFAFD51C038776AC2EB3548403F4B8DA402FE51C09B9E9091ED354840DFFFA9B4F9FD51C06C5913B124364840B3B6EEBFE2FD51C0E6BD693910364840B51D00E5DEFD51C0E1F7F1DF0A364840F23735DDDAFD51C010F4372104364840EE04D740DBFD51C070101ADCF6354840DC04C429DAFD51C06740155CF0354840F8D07670DAFD51C00367FBFCE73548403496721DDAFD51C07634B1FDE0354840,2,Saguenay--Lac-Saint-Jean,Chambord,,1676,,Fonction commerciale,Postes de traite,,,,,
Site archéologique de la Pointe-du-Buisson,92788,http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92788&type=bien,Ce bien est classé site patrimonial. La chapelle qui s'y trouve est classée immeuble patrimonial. Les 402 objets les plus significatifs qui ont été extraits du site sont classés objets patrimoniaux. Le bien est compris dans le périmètre du site patrimonial de Montréal.,"Ville-Marie est fondée en 1642. Marguerite Bourgeoys (1620-1700) s'y établit en 1653, dans le but d'y fonder une communauté religieuse enseignante non cloîtrée, qui prendra le nom de congrégation de Notre-Dame de Montréal. Dès 1655, elle évoque son souhait de dédier à la Vierge une chapelle de pèlerinage près du fort. Vers 1657, des matériaux sont amassés pour la construction de la chapelle, mais le projet demeure sans suite jusqu'en 1670. À ce moment, un petit lieu de culte en bois est érigé à quelques centaines de pas à l'est des limites de Ville-Marie. En 1675, la chapelle de bois est remplacée par un bâtiment en pierre.",Classement,1975-10-07,Site patrimonial,Ministère de la Culture et des Communications,45.318611,-73.966667,0106000020E6100000010000000103000000010000002A0000007D36134EF07D52C0FCEF45FEA3A84640FE08212AF17D52C0FE3FAE97A9A84640FE9E9EB1F37D52C0FDEFA792AEA846407DFB13A7F67D52C0FCCFF464B7A846407E7A3BCCF57D52C0FC7F5767C3A846407EADC00DF57D52C0FE0F5884C8A84640FE5D6BDEF27D52C0FCAF0B3BD0A846407E9782F2F07D52C0FD2F463DDAA846407E83C3D6EC7D52C0FE1F93ABEBA846407EF737F6E97D52C0FE2FE4E5F6A846407E443783E87D52C0FD9F3E26FAA84640FE36ED0FE27D52C0FECFC04701A94640FE6BE6ACDD7D52C0FE9F579C01A94640FEA83B1ADA7D52C0FC6F3E39FDA84640FEA70110DA7D52C0FD3F80C8F3A846407E9291F5D37D52C0FC8F6E83E9A846407E6B391DD37D52C0FC8F1346E6A84640FE843801D17D52C0FD7F35DFE1A846407E01AC47CE7D52C0FDCFC25ADEA84640FDF93395C77D52C0FDEF52C1DBA84640FEC4C72AC37D52C0FDEFE5B7D4A846407DCFA86FC17D52C0FE9F85DFC6A846407EF4DAE5B67D52C0FCBF3226BBA84640FE8AAD73AF7D52C0FE8F0B8EB1A84640FE374570AC7D52C0FE1FFEB0ADA84640FE5812C2A17D52C0FEDF66E3A8A84640FD6F9BF8987D52C0FC5F7148A6A84640FE438298907D52C0FE4FE8EEA1A84640FE1F0C4C8D7D52C0FC8FF1CCA0A846407D15BB658C7D52C0FD2FB4209EA846407E2F17628C7D52C0FE5F75019AA84640FE366F088E7D52C0FDDF7A6394A846407D471E788F7D52C0FCAFB1968DA84640FE7CA06D8F7D52C0FDFFB87384A846407E76955A8E7D52C0FE4F92167DA84640FED169668B7D52C0FC9FF65476A846407EC1CFED857D52C0FC7FCFBE6CA846407D44E90B997D52C0FE2F1DE86FA846407D4EABEEB97D52C0FE1FD3E774A846407E2E83B0C97D52C0FC6FFF4C77A84640FEFBB6C8D87D52C0FE2F366487A846407D36134EF07D52C0FCEF45FEA3A84640,16,Montérégie,Beauharnois,333 rue Émond,,,Non applicable,Non applicable,,,,,
